Author,Quote
Dr. Seuss,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
J.K. Rowling,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
Mother Teresa,“Not all of us can do great things. But we can do small things with great love.”
J.K. Rowling,"“To the well-organized mind, death is but the next great adventure.”"
Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”
William Nicholson,“We read to know we're not alone.”
Albert Einstein,“Any fool can know. The point is to understand.”
Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”
George Eliot,“It is never too late to be what you might have been.”
